uuid,Acanthamoeba.polyphaga.mimivirus,Acaryochloris.marina,Acetoanaerobium.sticklandii,Acetobacter.aceti,Acetobacter.pasteurianus,Acetobacter.persici,Acetobacter.pomorum,Acetobacter.senegalensis,Acetobacter.sp..SLV.7,Acetobacter.tropicalis,Acetobacterium.woodii,Acetomicrobium.mobile,Acholeplasma.brassicae,Acholeplasma.laidlawii,Acholeplasma.oculi,Acholeplasma.palmae,Achromobacter.denitrificans,Achromobacter.insolitus,Achromobacter.phage.phiAxp.3,Achromobacter.sp..AONIH1,Achromobacter.spanius,Achromobacter.xylosoxidans,Acidaminococcus.fermentans,Acidaminococcus.intestini,Acidihalobacter.prosperus,Acidimicrobium.ferrooxidans,Acidiphilium.cryptum,Acidiphilium.multivorum
haib17CEM4890_H2NYMCCXY_SL254809,0,0,0,1.00E-05,0,1.00E-05,0,1.00E-05,0,0,0,0,0,0,0,0,3.00E-04,0.00016,0,2.00E-04,0.00025,0.00068,2.00E-05,1.00E-05,4.00E-05,2.00E-05,0,0
haib17CEM4890_H2NYMCCXY_SL254810,0,0,0,2.00E-05,8.00E-05,0,0,0,0,0,0,0,0,0,0,0,0.00013,8.00E-05,0,0.00015,9.00E-05,0.00047,0,0,3.00E-05,0,1.00E-05,0
haib17CEM4890_H2NYMCCXY_SL254811,0,0,2.00E-05,5.00E-05,7.00E-05,8.00E-05,0,2.00E-05,0,1.00E-05,0,0,0,0,0,0,0.00031,0.00013,0,0.00038,0.00033,0.00106,0,0,5.00E-05,7.00E-05,6.00E-05,6.00E-05
haib17CEM4890_H2NYMCCXY_SL254812,0,1.00E-05,2.00E-05,8.00E-05,4.00E-05,7.00E-05,0,2.00E-05,0,3.00E-05,0,0,0,0,0,0,0.00031,3.00E-04,0,0.00025,0.00022,0.00104,2.00E-05,2.00E-05,9.00E-05,0.00012,8.00E-05,0.00011
haib17CEM4890_H2NYMCCXY_SL254813,0,1.00E-05,4.00E-05,2.00E-05,2.00E-05,2.00E-05,0,0,0,0,0,0,1.00E-05,0,0,0,0.00039,0.00021,0,0.00026,0.00029,0.00082,1.00E-05,0,2.00E-05,4.00E-05,5.00E-05,4.00E-05
haib17CEM4890_H2NYMCCXY_SL254814,0,0,0,0,0,3.00E-05,0,0,0,0,0,0,0,0,0,0,6.00E-05,1.00E-05,0,1.00E-05,0,4.00E-05,0,0,0,0,0,0
haib17CEM4890_H2NYMCCXY_SL254815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-05,0,0,3.00E-05,1.00E-05,9.00E-05,0,0,0,0,0,0
haib17CEM4890_H2NYMCCXY_SL254817,0,0,5.00E-05,0,0,0,0,0,0,0,0,0,2.00E-05,0,0,0,9.00E-05,4.00E-05,0,5.00E-05,5.00E-05,0.00027,0,0,0,0,0,0
haib17CEM4890_H2NYMCCXY_SL254818,0,0,0.00015,1.00E-05,4.00E-05,1.00E-05,0,0,0,0,9.00E-05,0,6.00E-05,1.00E-05,3.00E-05,0,9.00E-04,0.0101,0,0.00057,9.00E-04,0.00336,3.00E-05,0,1.00E-05,0,0,0
haib17CEM4890_H2NYMCCXY_SL254819,0,0,2.00E-05,0,0,0,0,0,0,0,0,0,2.00E-05,0,0,0,0.00016,0,0,0.00012,2.00E-05,0.00063,0,0,2.00E-05,0,0.00039,0
